time/time_elapsed,time/episodes,rollout/ep_len_mean,time/fps,cv/rollout_cv_value,time/total_timesteps,cv/rollout_cv_count,rollout/ep_rew_mean,train/n_updates,train/actor_loss,train/learning_rate,train/critic_loss
870,3964,50.0,227,18763.862983364612,198200,27694,-5.515456519999998,188150,1.7721475815773011,0.001,0.0037741802842356266
871,3968,50.0,227,18769.461357802153,198400,27714,-5.4907672000000005,188350,1.7475338625907897,0.001,0.0042560702073387805
871,3972,50.0,227,18780.471815012395,198600,27732,-5.482543330000001,188550,1.725660891532898,0.001,0.003863100840244442
872,3976,50.0,227,18791.531262539327,198800,27749,-5.430047290000001,188750,1.7410353875160218,0.001,0.0031138426205143334
873,3980,50.0,227,18801.37076794356,199000,27770,-5.4700705,188950,1.772671501636505,0.001,0.005041805882938206
874,3984,50.0,227,18820.296842176467,199200,27792,-5.548566710000001,189150,1.7716984343528748,0.001,0.004652060712687671
875,3988,50.0,227,18828.243993490934,199400,27808,-5.545292400000001,189350,1.7369484305381775,0.001,0.003031336726853624
875,3992,50.0,227,18833.4903235808,199600,27819,-5.517137439999998,189550,1.7759309101104737,0.001,0.0036965092713944613
876,3996,50.0,227,18848.648617502302,199800,27842,-5.60312168,189750,1.7357234001159667,0.001,0.004281531958840787
877,4000,50.0,227,18857.3743939884,200000,27852,-5.573560940000001,189950,1.7374844217300416,0.001,0.004001683609094471
878,4004,50.0,227,18864.8580891639,200200,27870,-5.548078370000001,190150,1.7418345379829407,0.001,0.0036506592761725186
879,4008,50.0,227,18878.82347441092,200400,27889,-5.57530617,190350,1.750831251144409,0.001,0.0034316353173926475
879,4012,50.0,227,18892.857265345752,200600,27909,-5.553162350000001,190550,1.7567531013488769,0.001,0.003516109890770167
880,4016,50.0,227,18903.600399166346,200800,27930,-5.52312152,190750,1.753238055706024,0.001,0.004083993663080036
881,4020,50.0,227,18905.472856655717,201000,27933,-5.4846616300000015,190950,1.7456294584274292,0.001,0.003620985108427703
882,4024,50.0,228,18912.617076985538,201200,27944,-5.423878010000001,191150,1.73976393699646,0.001,0.00382229040376842
883,4028,50.0,228,18924.89611209929,201400,27961,-5.4460171000000015,191350,1.7472323632240296,0.001,0.003511506547220051
884,4032,50.0,228,18935.195480324328,201600,27981,-5.43733191,191550,1.7634496331214904,0.001,0.004507162848021835
884,4036,50.0,228,18945.694041982293,201800,28000,-5.429844310000001,191750,1.6853887414932252,0.001,0.0036664160061627626
885,4040,50.0,228,18958.41855719313,202000,28021,-5.410462810000001,191950,1.6859269547462463,0.001,0.0029047096404246986
886,4044,50.0,228,18968.01192608103,202200,28037,-5.4105140800000004,192150,1.7271906042099,0.001,0.004692503463011235
887,4048,50.0,228,18974.150777030736,202400,28053,-5.419213010000001,192350,1.7103405213356018,0.001,0.004177050364669413
888,4052,50.0,228,18984.352599669248,202600,28069,-5.323822479999999,192550,1.7310127139091491,0.001,0.005003513684496284
888,4056,50.0,228,18997.858533665538,202800,28088,-5.347657379999999,192750,1.7309641313552857,0.001,0.003953133660834282
889,4060,50.0,228,19016.97515546158,203000,28114,-5.381016549999999,192950,1.7061142539978027,0.001,0.0033340167929418385
890,4064,50.0,228,19030.762096185237,203200,28136,-5.397925720000002,193150,1.7457217621803283,0.001,0.0037370509654283523
891,4068,50.0,228,19048.562595158815,203400,28161,-5.47604024,193350,1.7151886653900146,0.001,0.003094344681594521
892,4072,50.0,228,19059.616956289858,203600,28174,-5.43723261,193550,1.7170144200325013,0.001,0.0036929072998464108
893,4076,50.0,228,19075.875808529556,203800,28204,-5.44781806,193750,1.7228210425376893,0.001,0.003563024082686752
893,4080,50.0,228,19083.51814538613,204000,28216,-5.378278159999999,193950,1.7174018430709839,0.001,0.003756402649451047
894,4084,50.0,228,19091.8697155267,204200,28231,-5.308408779999999,194150,1.7045990300178528,0.001,0.005973458136431873
895,4088,50.0,228,19105.72192627564,204400,28252,-5.302650750000001,194350,1.716249077320099,0.001,0.004117146851494908
896,4092,50.0,228,19112.84575655684,204600,28267,-5.294754709999999,194550,1.727476372718811,0.001,0.002623484400101006
897,4096,50.0,228,19121.43552256748,204800,28282,-5.241917560000001,194750,1.7310385966300965,0.001,0.004506143624894321
897,4100,50.0,228,19127.151847537607,205000,28292,-5.2418885,194950,1.7325656366348268,0.001,0.0030965197621844708
898,4104,50.0,228,19144.93400086835,205200,28318,-5.254305029999999,195150,1.7374268460273743,0.001,0.003729318790137768
899,4108,50.0,228,19156.420731581748,205400,28339,-5.28386169,195350,1.6686315417289734,0.001,0.0036215586075559257
900,4112,50.0,228,19161.405676353723,205600,28350,-5.245345990000001,195550,1.6849430680274964,0.001,0.0025221369904465975
901,4116,50.0,228,19177.7380313538,205800,28375,-5.286126129999999,195750,1.67233008146286,0.001,0.0038231406034901737
902,4120,50.0,228,19192.121738016605,206000,28394,-5.323284729999999,195950,1.6875792813301087,0.001,0.003141894901636988
904,4124,50.0,228,19204.962347581983,206200,28413,-5.419442929999998,196150,1.7092207288742065,0.001,0.004108325056731701
905,4128,50.0,227,19222.31082612276,206400,28441,-5.438176490000001,196350,1.7102593421936034,0.001,0.003979695581365377
907,4132,50.0,227,19236.018833193928,206600,28466,-5.47039478,196550,1.677468547821045,0.001,0.0032032348471693695
908,4136,50.0,227,19239.015018835664,206800,28479,-5.39739764,196750,1.6754221415519714,0.001,0.0023632225743494928
909,4140,50.0,227,19246.837576918304,207000,28498,-5.392237050000001,196950,1.694426121711731,0.001,0.002996999027673155
911,4144,50.0,227,19256.141895171255,207200,28517,-5.4238316499999994,197150,1.6486093997955322,0.001,0.0026816594682168215
912,4148,50.0,227,19261.315505966544,207400,28526,-5.413966990000001,197350,1.6800860381126403,0.001,0.0043573604058474305
913,4152,50.0,227,19269.367328111082,207600,28538,-5.407859579999999,197550,1.6835465502738953,0.001,0.0025257155450526623
914,4156,50.0,227,19279.484514586627,207800,28556,-5.406877280000001,197750,1.6813840222358705,0.001,0.0024992413888685404
915,4160,50.0,227,19285.648657951504,208000,28566,-5.323432470000001,197950,1.66069504737854,0.001,0.0020199181977659463
916,4164,50.0,227,19297.7219472602,208200,28584,-5.285369370000001,198150,1.6738703393936156,0.001,0.0034938869904726742
917,4168,50.0,227,19307.79743407294,208400,28601,-5.205160899999998,198350,1.660657184123993,0.001,0.0034907138149719687
918,4172,50.0,227,19320.367067590356,208600,28619,-5.24583241,198550,1.6409617614746095,0.001,0.0038886497891508043
920,4176,50.0,226,19331.09407761693,208800,28637,-5.221291,198750,1.6774463438987732,0.001,0.0024933818657882512
921,4180,50.0,226,19337.364815611392,209000,28651,-5.26697732,198950,1.6500015544891358,0.001,0.0027326417388394476
922,4184,50.0,226,19344.363209757954,209200,28667,-5.281192999999999,199150,1.664186465740204,0.001,0.001967870800290257
923,4188,50.0,226,19352.011225648224,209400,28680,-5.23683131,199350,1.6431189918518065,0.001,0.002380698446650058
924,4192,50.0,226,19360.088304746896,209600,28697,-5.23862125,199550,1.6364528632164002,0.001,0.0034300848981365564
925,4196,50.0,226,19364.84804585576,209800,28711,-5.24832341,199750,1.648735885620117,0.001,0.0028602910647168756
926,4200,50.0,226,19378.782360084355,210000,28739,-5.35520283,199950,1.6614483952522279,0.001,0.004148826675955206
927,4204,50.0,226,19396.86334264651,210200,28766,-5.37426956,200150,1.6430048656463623,0.001,0.0018424077786039562
928,4208,50.0,226,19400.026007056236,210400,28774,-5.339101879999999,200350,1.6406080031394958,0.001,0.0026323376712389292
929,4212,50.0,226,19405.424895267934,210600,28783,-5.34409377,200550,1.6368456077575684,0.001,0.002557050717296079
930,4216,50.0,226,19421.74424277246,210800,28808,-5.344943830000001,200750,1.6075459504127503,0.001,0.0022801363305188717
931,4220,50.0,226,19432.250875614583,211000,28826,-5.36008965,200950,1.6273412370681763,0.001,0.0026326743443496527
932,4224,50.0,226,19441.146013688296,211200,28841,-5.35313566,201150,1.644879901409149,0.001,0.002430961090140045
933,4228,50.0,226,19452.333491027355,211400,28856,-5.34781054,201350,1.6384979939460755,0.001,0.0019748938176780938
934,4232,50.0,226,19462.144072625786,211600,28870,-5.311317140000001,201550,1.6184890341758729,0.001,0.0022906537260860204
935,4236,50.0,226,19472.072898652405,211800,28887,-5.378763710000002,201750,1.6495346426963806,0.001,0.0020182830921839923
936,4240,50.0,226,19475.13962862268,212000,28895,-5.335289040000001,201950,1.6105534768104552,0.001,0.0017485626798588783
937,4244,50.0,226,19482.401912480593,212200,28907,-5.315699679999999,202150,1.6244393801689148,0.001,0.002084371600067243
938,4248,50.0,226,19494.47359828651,212400,28923,-5.375954029999999,202350,1.6009271740913391,0.001,0.001666494021192193
939,4252,50.0,226,19504.424471285194,212600,28940,-5.383967100000001,202550,1.5804945063591003,0.001,0.0018506046826951205
940,4256,50.0,226,19516.531626075506,212800,28957,-5.35853201,202750,1.5867793822288514,0.001,0.0018339288025163115
941,4260,50.0,226,19534.783048823476,213000,28979,-5.473089610000001,202950,1.6138819432258606,0.001,0.0020719993172679096
942,4264,50.0,226,19541.34491935,213200,28990,-5.4289704400000005,203150,1.6464502906799316,0.001,0.00245883506257087
943,4268,50.0,226,19557.094107300043,213400,29011,-5.47097008,203350,1.5954235553741456,0.001,0.0014508320682216436
944,4272,50.0,226,19572.518994178623,213600,29031,-5.471216999999999,203550,1.5656111550331115,0.001,0.0015063565224409103
