time/total_timesteps,cv/rollout_cv_value,cv/rollout_cv_count,time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,train/actor_loss,train/learning_rate,train/n_updates,train/critic_loss
223000,21702.498521450907,29214,4460,-5.203505289999999,1034,215,50.0,1.4045552563667298,0.001,212950,0.001068255150457844
223200,21714.041553735733,29234,4464,-5.217368420000001,1035,215,50.0,1.3774876546859742,0.001,213150,0.001206301504280418
223400,21729.853032197803,29256,4468,-5.22628729,1036,215,50.0,1.3818188095092774,0.001,213350,0.0010395924502518028
223600,21733.113812096417,29262,4472,-5.168163610000001,1037,215,50.0,1.401059377193451,0.001,213550,0.0012116406857967377
223800,21745.55504727736,29277,4476,-5.12482806,1038,215,50.0,1.3894130730628966,0.001,213750,0.001620406424626708
224000,21752.798622779548,29288,4480,-5.08968083,1039,215,50.0,1.397503249645233,0.001,213950,0.0011319972935598345
224200,21775.562642190605,29314,4484,-5.13078013,1040,215,50.0,1.399916968345642,0.001,214150,0.0011343750602100045
224400,21788.64656030014,29331,4488,-5.1648595,1041,215,50.0,1.4119406723976136,0.001,214350,0.0012037075974512844
224600,21799.70352447778,29346,4492,-5.131951720000001,1042,215,50.0,1.393405704498291,0.001,214550,0.001153302933089435
224800,21822.17349307239,29370,4496,-5.1478657199999995,1043,215,50.0,1.384460837841034,0.001,214750,0.0013353907747659832
225000,21838.419984035194,29391,4500,-5.18043831,1044,215,50.0,1.38005286693573,0.001,214950,0.0013776505831629038
225200,21856.9093718566,29416,4504,-5.2307922200000005,1045,215,50.0,1.389202585220337,0.001,215150,0.0012619443377479911
225400,21887.67783100903,29441,4508,-5.28093374,1046,215,50.0,1.3650340843200683,0.001,215350,0.0011062695819418877
225600,21908.331156324595,29464,4512,-5.36946607,1047,215,50.0,1.3836844229698182,0.001,215550,0.0012025094323325901
225800,21921.124532692134,29481,4516,-5.365387850000001,1048,215,50.0,1.3786361765861512,0.001,215750,0.0010556783492211253
226000,21937.139141160995,29498,4520,-5.30606945,1049,215,50.0,1.3811561417579652,0.001,215950,0.001312766302144155
226200,21952.547638580203,29518,4524,-5.340016489999998,1050,215,50.0,1.368207802772522,0.001,216150,0.0014424344268627466
226400,21958.08677593246,29530,4528,-5.281429129999999,1050,215,50.0,1.4015070652961732,0.001,216350,0.0011148571770172567
226600,21968.264107316732,29544,4532,-5.227468889999999,1051,215,50.0,1.376001899242401,0.001,216550,0.0010855910775717347
226800,21983.926081757993,29558,4536,-5.232195470000001,1052,215,50.0,1.3964482855796814,0.001,216750,0.0018482147972099484
227000,22004.231908697635,29582,4540,-5.2257552899999995,1053,215,50.0,1.3972978687286377,0.001,216950,0.0012251068779733031
227200,22011.45902397111,29594,4544,-5.145476309999999,1054,215,50.0,1.3780912256240845,0.001,217150,0.0014226434635929764
227400,22023.423663668334,29610,4548,-5.14774281,1055,215,50.0,1.3858241391181947,0.001,217350,0.0011760894552571698
227600,22056.92513538152,29643,4552,-5.2201806,1056,215,50.0,1.3783080983161926,0.001,217550,0.0010767538496293128
227800,22074.49738074839,29664,4556,-5.221902320000001,1057,215,50.0,1.390569269657135,0.001,217750,0.0011946332710795105
228000,22091.357271134853,29681,4560,-5.22738096,1058,215,50.0,1.3769489479064942,0.001,217950,0.000855530061526224
228200,22099.6912670359,29691,4564,-5.167819579999999,1059,215,50.0,1.3727540802955627,0.001,218150,0.0011152027570642531
228400,22119.71435732767,29719,4568,-5.191502869999999,1060,215,50.0,1.3849214553833007,0.001,218350,0.0010926042380742728
228600,22123.18676621467,29725,4572,-5.20877974,1061,215,50.0,1.3882295656204224,0.001,218550,0.0010879210336133837
228800,22152.71578700468,29757,4576,-5.2857677600000015,1062,215,50.0,1.3857517170906066,0.001,218750,0.000937733770115301
229000,22179.990848764777,29781,4580,-5.360399190000001,1063,215,50.0,1.3896226334571837,0.001,218950,0.001415160079486668
229200,22208.461360242218,29806,4584,-5.35222535,1064,215,50.0,1.4052527236938477,0.001,219150,0.0012348213198129087
229400,22221.24087727815,29825,4588,-5.33206074,1065,215,50.0,1.3807456064224244,0.001,219350,0.0010926483513321727
229600,22242.60060781613,29847,4592,-5.389927909999999,1066,215,50.0,1.3707397651672364,0.001,219550,0.0010770974960178136
229800,22253.52547525242,29865,4596,-5.384162079999999,1067,215,50.0,1.3582943105697631,0.001,219750,0.0012794651777949184
230000,22275.6067719087,29888,4600,-5.377473309999999,1068,215,50.0,1.373984191417694,0.001,219950,0.0010000782483257354
230200,22288.069143589586,29909,4604,-5.34990541,1069,215,50.0,1.3720383191108703,0.001,220150,0.001844441459979862
230400,22297.57309529558,29924,4608,-5.29317277,1070,215,50.0,1.3648958063125611,0.001,220350,0.0011976752849295735
230600,22326.152483008802,29953,4612,-5.330111300000001,1071,215,50.0,1.3824938893318177,0.001,220550,0.0010566986096091568
230800,22330.85059740767,29961,4616,-5.29111514,1071,215,50.0,1.3529185605049134,0.001,220750,0.001139744301326573
231000,22353.838961184025,29983,4620,-5.34138187,1072,215,50.0,1.3557010173797608,0.001,220950,0.0010747185617219657
231200,22375.592708799988,30005,4624,-5.3633161199999995,1073,215,50.0,1.366820523738861,0.001,221150,0.0011603773501701652
231400,22391.11633232236,30023,4628,-5.4176742,1074,215,50.0,1.365548779964447,0.001,221350,0.0010177790152374655
231600,22422.578159149736,30059,4632,-5.523001389999998,1075,215,50.0,1.378034963607788,0.001,221550,0.0013085289730224757
231800,22440.477665174752,30083,4636,-5.546013359999998,1076,215,50.0,1.3685922503471375,0.001,221750,0.0011803119210526346
232000,22451.493267122656,30098,4640,-5.495219669999998,1077,215,50.0,1.382968065738678,0.001,221950,0.0010278385796118528
232200,22461.92352188006,30112,4644,-5.520442500000001,1078,215,50.0,1.3835776233673096,0.001,222150,0.001392272001830861
232400,22483.145249258727,30140,4648,-5.557951429999999,1079,215,50.0,1.3430852818489074,0.001,222350,0.001091116266325116
232600,22496.669857580215,30155,4652,-5.46599395,1080,215,50.0,1.3663174629211425,0.001,222550,0.0020759056636597962
232800,22521.71758448705,30181,4656,-5.476201709999999,1081,215,50.0,1.3580714273452759,0.001,222750,0.0008993227779865265
233000,22542.412574402988,30206,4660,-5.50506577,1082,215,50.0,1.3571181535720824,0.001,222950,0.0009482974756974727
233200,22551.260009154677,30216,4664,-5.516347299999999,1083,215,50.0,1.3582972502708435,0.001,223150,0.000839413643698208
233400,22571.011116869748,30235,4668,-5.492265700000001,1084,215,50.0,1.3675800228118897,0.001,223350,0.0011019497457891703
233600,22582.725726064295,30247,4672,-5.532672100000001,1085,215,50.0,1.3682269334793091,0.001,223550,0.0013181440404150635
233800,22589.283068511635,30263,4676,-5.43144045,1086,215,50.0,1.362290189266205,0.001,223750,0.0013978662260342388
234000,22599.456390012056,30280,4680,-5.376496350000001,1087,215,50.0,1.344789547920227,0.001,223950,0.0013621207023970783
234200,22616.62057225406,30300,4684,-5.3603435600000005,1088,215,50.0,1.3590099215507507,0.001,224150,0.0007860408088890835
