cv/rollout_cv_value,cv/rollout_cv_count,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/episodes,time/time_elapsed,train/critic_loss,train/learning_rate,train/n_updates,train/actor_loss
15498.659693423659,20634,50.0,-5.327729640000001,124800,233,2496,534,0.0031829779711551962,0.001,114750,1.8203733777999878
15526.740342333913,20661,50.0,-5.3910913900000015,125000,233,2500,535,0.00373414624016732,0.001,114950,1.7445958971977233
15555.308146953583,20689,50.0,-5.39865562,125200,233,2504,536,0.0038779180916026237,0.001,115150,1.786447093486786
15568.580933518708,20707,50.0,-5.413136980000001,125400,233,2508,537,0.0032821215549483896,0.001,115350,1.7955801391601562
15579.69263286516,20722,50.0,-5.446189759999999,125600,233,2512,538,0.00405314420349896,0.001,115550,1.820681812763214
15586.352048490196,20731,50.0,-5.44519202,125800,233,2516,539,0.0036389495409093796,0.001,115750,1.7904055547714233
15594.296140085906,20741,50.0,-5.3823036700000015,126000,233,2520,540,0.003872927697375417,0.001,115950,1.8463016200065612
15602.282679989934,20755,50.0,-5.374668429999999,126200,233,2524,540,0.004295740241650492,0.001,116150,1.7846604204177856
15617.542778849602,20773,50.0,-5.300645090000001,126400,233,2528,541,0.003656941901426762,0.001,116350,1.8017425227165222
15630.88632022962,20792,50.0,-5.271330700000001,126600,233,2532,542,0.004382668612524867,0.001,116550,1.8155352139472962
15642.582277081907,20809,50.0,-5.29422061,126800,233,2536,543,0.003411222966387868,0.001,116750,1.7971618366241455
15664.020073149353,20832,50.0,-5.366314410000001,127000,233,2540,544,0.003816068510059267,0.001,116950,1.79757169008255
15684.233424980193,20857,50.0,-5.37320648,127200,233,2544,545,0.0029008049820549785,0.001,117150,1.7983961248397826
15693.825053364038,20870,50.0,-5.355852049999999,127400,233,2548,545,0.0022629973536822945,0.001,117350,1.7812524390220643
15710.755078230053,20890,50.0,-5.440737390000001,127600,233,2552,546,0.0029866247437894343,0.001,117550,1.8126566314697266
15728.292365152389,20912,50.0,-5.38170357,127800,233,2556,547,0.0024815938295796513,0.001,117750,1.7915644598007203
15745.541447859257,20934,50.0,-5.34416305,128000,233,2560,548,0.0021091042878106235,0.001,117950,1.7983477997779846
15756.773825284094,20950,50.0,-5.301868360000001,128200,233,2564,549,0.003078784777317196,0.001,118150,1.8193883466720582
15771.826938245445,20968,50.0,-5.32382792,128400,233,2568,550,0.0029273840971291067,0.001,118350,1.8143028235435485
15776.528108924627,20977,50.0,-5.31772893,128600,233,2572,550,0.0028091578278690577,0.001,118550,1.8292935991287231
15793.2982304506,20997,50.0,-5.37097898,128800,233,2576,551,0.0035131601546891035,0.001,118750,1.829641754627228
15806.209515873343,21018,50.0,-5.30639679,129000,233,2580,552,0.0031513555394485594,0.001,118950,1.8105423164367676
15824.031549867243,21042,50.0,-5.3482980499999995,129200,233,2584,553,0.00436469818931073,0.001,119150,1.7951913976669311
15832.366102397442,21053,50.0,-5.274035339999999,129400,233,2588,554,0.0034091452811844647,0.001,119350,1.8420217370986938
15845.37641331926,21072,50.0,-5.2665168300000005,129600,233,2592,554,0.003018209261354059,0.001,119550,1.8239555954933167
